parameter_id,parameter_name,material_or_system,value,status,unit,source_title,source_url_or_doi,evidence_type,notes
P132,aurora_hcpb_neutron_source_strength,AURORA DEMO-like HCPB proof-of-concept,1e17,extracted,1/s,Scalable multi-physics for fusion reactors with AURORA,https://doi.org/10.1088/1361-6587/aca998,open_multiphysics_benchmark,"Page 11 gives the fixed neutron source strength. It must not be converted to MW or W/m3 without an OpenMC energy-deposition tally and normalization."
P133,aurora_hcpb_transient_schedule,AURORA DEMO-like HCPB proof-of-concept,"duration=1000; step=30",extracted,s,Scalable multi-physics for fusion reactors with AURORA,https://doi.org/10.1088/1361-6587/aca998,open_multiphysics_benchmark,"Page 11 gives the transient duration and time step used in the demonstration."
P134,aurora_hcpb_finite_element_dof,AURORA DEMO-like HCPB proof-of-concept,1.6e5,extracted,dimensionless,Scalable multi-physics for fusion reactors with AURORA,https://doi.org/10.1088/1361-6587/aca998,open_multiphysics_benchmark,"Page 11 reports approximately 1.6e5 finite-element degrees of freedom. This is mesh metadata, not a required resolution for the reduced surrogate."
P135,hcpb_li4sio4_pebble_diameter,EU DEMO HCPB V3 breeder bed,"0.25 to 0.63",extracted,mm,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,design_material_geometry,"Page 4 states Li4SiO4 pebble diameter 0.25-0.63 mm. Use only for the cited EU HCPB design family."
P136,hcpb_be_pebble_diameter,EU DEMO HCPB V3 neutron-multiplier bed,1,extracted,mm,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,design_material_geometry,"Page 4 states a 1 mm Be pebble diameter. It is not a Li4SiO4 particle size."
P137,hcpb_purge_gas_composition,EU DEMO HCPB breeder and multiplier beds,"He + 0.1 wt% H2",extracted,composition,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,design_operating_condition,"Page 4 defines the purge gas and H2 doping. This is purge gas, not the 8 MPa primary coolant."
P138,hcpb_breeder_zone_purge_pressure,EU DEMO HCPB breeder zone,0.2,extracted,MPa,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,design_operating_condition,"Page 5 sets the breeder-zone purge pressure to 0.2 MPa after noting degraded gas conductivity below 0.15 MPa."
P139,hcpb_v3_pebble_bed_layer_thickness,EU DEMO HCPB V3 baseline,"Li4SiO4=15.5; Be=40",extracted,mm,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,design_geometry,"Page 6 reports V3 baseline breeder and multiplier bed thicknesses."
P140,hcpb_assumed_first_wall_heat_flux,EU DEMO HCPB V3 thermohydraulic model,0.5,extracted,MW/m2,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,thermohydraulic_boundary,"Page 6 states the homogeneous first-wall heat flux assumed in the reported thermohydraulic analysis. This is a surface heat flux, not nuclear volumetric heating."
P141,hcpb_total_reactor_thermal_power,EU DEMO HCPB V3 neutronic analysis,2796.4,extracted,MW,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,neutronics_result,"Page 6 reports total reactor thermal power. It cannot be divided into a module W/m3 source without a module-resolved deposition tally and volume map."
P142,hcpb_total_coolant_mass_flow,EU DEMO HCPB V3 primary coolant,2690.4,extracted,kg/s,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,thermohydraulic_result,"Page 6 derives total blanket helium mass flow from heat capacity and coolant temperature rise; about 70% goes to OB and 30% to IB."
P143,hcpb_ob4_and_fw_channel_mass_flow,EU DEMO HCPB V3 equatorial outboard module,"OB4=6.33; FW_channel=0.051",extracted,kg/s,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,thermohydraulic_boundary,"Page 6 reports module and single first-wall cooling-channel mass-flow rates for the CFD slice analysis."
P144,hcpb_cooling_channel_surface_roughness,EU DEMO HCPB V3 cooling channels,13.5,extracted,um,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,thermohydraulic_boundary,"Page 6 gives Ra=13.5 um as a representative roughness for spark-eroded and machined channels."
P145,hcpb_v3_material_maximum_temperatures,EU DEMO HCPB V3 slice CFD,"EUROFER=578.3; Li4SiO4=671.7; Be=935.4",extracted,degC,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,thermohydraulic_validation_result,"Page 6 reports maximum temperatures from the slice CFD analysis. These are validation targets for that configuration, not imposed boundary temperatures."
P146,hcpb_v3_pressure_drop,EU DEMO HCPB V3 primary coolant,"OB4=2.0; blanket_system=2.6",extracted,bar,A new HCPB breeding blanket for the EU DEMO: Evolution rationale and preliminary performances,https://doi.org/10.1016/j.fusengdes.2017.02.008,thermohydraulic_result,"Page 6 reports approximate OB4 and overall blanket-system pressure drops. These do not define purge-bed pressure loss."
P147,aurora_hcpb_monte_carlo_histories,AURORA DEMO-like HCPB proof-of-concept,"batches=200; histories_per_batch=5e6",extracted,particle_histories,Scalable multi-physics for fusion reactors with AURORA,https://doi.org/10.1088/1361-6587/aca998,open_multiphysics_benchmark,"Page 11 reports the Monte Carlo schedule used for the proof-of-concept demonstration. It is numerical metadata rather than a universal convergence requirement."
P148,aurora_hcpb_tally_relative_error,AURORA DEMO-like HCPB proof-of-concept,"neutron_flux=0.1 to 13; heating=0.2 to 48",extracted,percent,Scalable multi-physics for fusion reactors with AURORA,https://doi.org/10.1088/1361-6587/aca998,open_multiphysics_benchmark,"Page 11 reports wide spatial relative-error ranges and states that variance reduction would be needed. These errors prohibit treating the published demonstration as a precise HCPB training field."
P149,iaea_hcpb_tbm_1d_plasma_source_support,ITER HCPB TBM 1D benchmark,"r=506.6 to 834.0; z proposal=-1000.2 to 1000.2; z accepted=-1000.0 to 1000.0",extracted,cm,IAEA-NDS HCPB_TBM_1D open benchmark,https://github.com/IAEA-NDS/open-benchmarks/tree/09bacd7927b581d5e0f90468a0599fec8e95f972/jade_open_benchmarks/inputs/HCPB_TBM_1D,open_benchmark_source_geometry,"MCNP SDEF proposes x/y/z in a box and requires cel=51. Cells 51-52 and surfaces 50-52 define the annulus, while starred planes 128-129 restrict accepted z to +/-1000.0 cm. The OpenMC translation samples the equivalent accepted uniform-volume annulus directly."
P150,iaea_hcpb_tbm_1d_dt_ion_temperature,ITER HCPB TBM 1D benchmark,10,extracted,keV,IAEA-NDS HCPB_TBM_1D open benchmark,https://github.com/IAEA-NDS/open-benchmarks/blob/09bacd7927b581d5e0f90468a0599fec8e95f972/jade_open_benchmarks/inputs/HCPB_TBM_1D/HCPB_TBM_1D/mcnp/HCPB_TBM_1D.i,open_benchmark_source_spectrum,"The MCNP source comment specifies a Muir velocity Gaussian D-T fusion spectrum at 10 keV immediately above SP1 -6."
P151,iaea_hcpb_tbm_1d_dt_muir_parameters,ITER HCPB TBM 1D benchmark,"e0=14.1; reactant_mass_ratio=5; kT=10",extracted,"MeV;dimensionless;keV",IAEA HCPB_TBM_1D source translated with OpenMC Muir definition,https://docs.openmc.org/en/stable/pythonapi/generated/openmc.stats.muir.html,benchmark_source_translation,"The benchmark specifies the D-T Muir spectrum and 10 keV ion temperature; e0=14.1 MeV is the D-T neutron-energy reference used for the translation and mass ratio 5 is D+T reactant mass in amu. This row is a source-model translation, not a blanket material constant."
P152,iaea_hcpb_tbm_1d_heating_mesh,ITER HCPB TBM 1D benchmark,"r=830.0 to 1084.2 with 78 bins; z=-1000 to 1000; full azimuth",extracted,cm,IAEA-NDS HCPB_TBM_1D open benchmark,https://github.com/IAEA-NDS/open-benchmarks/blob/09bacd7927b581d5e0f90468a0599fec8e95f972/jade_open_benchmarks/inputs/HCPB_TBM_1D/HCPB_TBM_1D/mcnp/HCPB_TBM_1D.i,open_benchmark_tally_geometry,"MCNP FMESH204/214 define neutron and photon heating on this cylindrical mesh. The OpenMC translation preserves these radial and axial bounds."
P153,iaea_hcpb_tbm_1d_particle_histories,ITER HCPB TBM 1D benchmark,1e7,extracted,source particles,Development of the JADE code for verification and validation of nuclear data and particle transport codes,https://conferences.iaea.org/event/373/contributions/29438/attachments/15638/26321/Valentine%20-%20UKAEA%20development%20of%20the%20JADE%20tool%20for%20VV%20of%20nuclear%20data%20and%20particle%20transport%20codes.pdf,open_benchmark_numerical_schedule,"The IAEA JADE benchmark presentation lists an NPS cutoff of 1.00E+07 for HCPB_TBM_1D. It is numerical schedule metadata, not a universal convergence guarantee."
P154,iaea_hcpb_tbm_1d_source_rate_normalization,ITER HCPB TBM 1D benchmark,1.222e21,extracted,1/s,IAEA-NDS HCPB_TBM_1D open benchmark,https://github.com/IAEA-NDS/open-benchmarks/blob/09bacd7927b581d5e0f90468a0599fec8e95f972/jade_open_benchmarks/inputs/HCPB_TBM_1D/HCPB_TBM_1D/mcnp/HCPB_TBM_1D.i,open_benchmark_power_normalization,"The MCNP benchmark uses FM4=1.222e21 for source-normalized flux and FM6=1.9577e8 for W/g heating. This source rate is benchmark-specific and must not be applied to another HCPB geometry."
P155,iaea_hcpb_tbm_1d_outer_boundaries,ITER HCPB TBM 1D benchmark,"surface 127 radial vacuum; surfaces 128 and 129 axial reflective at z=+/-1000.0",extracted,boundary_condition,IAEA-NDS HCPB_TBM_1D open benchmark,https://github.com/IAEA-NDS/open-benchmarks/blob/09bacd7927b581d5e0f90468a0599fec8e95f972/jade_open_benchmarks/inputs/HCPB_TBM_1D/HCPB_TBM_1D/mcnp/HCPB_TBM_1D.i,open_benchmark_boundary_condition,"MCNP cell 128 has zero particle importance outside the radial shield, while starred pz surfaces 128 and 129 are specular reflective boundaries. The OpenMC translation must not replace the starred axial planes with vacuum."
P156,hcpb_v3_periodic_slice_topology,EU DEMO HCPB V3 equatorial OB4 slice,"one cooling plate plus two half Li4SiO4 beds and two half Be beds",extracted,topology,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_geometry,"Section 1.2.1 defines half pebble beds and one cooling plate as the elementary periodic slice; Section 5.2 applies the same slice to 3D CFD."
P157,hcpb_v3_primary_coolant_condition,EU DEMO HCPB V3,"inlet=300; target_outlet=500; pressure=8",extracted,"degC;degC;MPa",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_operating_condition,"Table 1.1 and Section 1.2.1 report the helium primary-coolant condition for DEMO 2015 HCPB."
P158,hcpb_v3_armour_and_first_wall_thickness,EU DEMO HCPB V3,"armour=2; first_wall=25",extracted,mm,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_geometry,"Table 1.1 reports the armour and first-wall thicknesses for the V3 family."
P159,hcpb_v3_slice_nominal_region_heating,EU DEMO HCPB V3 equatorial OB4 slice,"armour=22.361284; Be_bed=1.492482; BSS=0.222563; CP=2.739606; FW=5.905332; Li4SiO4_bed=6.441772",extracted,W/cm3,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_neutronics_result,"Appendix Table A.13 reports the nominal region-averaged volumetric heating used in the three-slice symmetry case. These are computed V3 benchmark loads, not universal material constants."
P160,hcpb_v3_slice_coolant_mass_flow_per_loop,EU DEMO HCPB V3 equatorial OB4 slice,0.046072,extracted,kg/s,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_thermal_boundary,"Section 5.2.1 and Appendix Table A.13 report the mass flow applied to each of the two parallel cooling loops."
P161,hcpb_v3_bss_inlet_manifold_htc,EU DEMO HCPB V3 equatorial OB4 slice,1200,extracted,W/m2/K,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_thermal_boundary,"Section 5.2.1 reports an approximate conservative HTC estimated with the Gnielinski correlation for the BSS inlet manifold; it is not a measured coefficient."
P162,hcpb_v3_slice_reference_cfd_mesh,EU DEMO HCPB V3 equatorial OB4 slice,"nodes=5.4e6; elements=18.6e6; inflation_layers=8; first_layer=2.0e-5; growth=1.2",extracted,"count;count;count;m;dimensionless",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_numerical_mesh,"Section 5.2.1 reports the conformal CFD mesh. These values are a published reference resolution, not an automatic mesh-convergence proof for a new solver."
P163,hcpb_v3_slice_plasma_surface_heat_flux,EU DEMO HCPB V3 equatorial OB4 slice,0.5,extracted,MW/m2,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_thermal_boundary,"Section 5.2.1 applies the nominal value multiplied by the cosine between the radial direction and the local surface normal."
P164,hcpb_v3_slice_external_thermal_boundaries,EU DEMO HCPB V3 equatorial OB4 slice,"top_bottom=symmetry; lateral=adiabatic except plasma-facing FW",extracted,boundary_condition,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_thermal_boundary,"Section 5.2.1 defines the thermal boundaries of the unit slice."
P165,hcpb_v3_slice_coolant_inlet_outlet_boundaries,EU DEMO HCPB V3 equatorial OB4 slice,"inlet=300 degC at 8 MPa; outlet_relative_pressure=0",extracted,"degC;MPa;Pa",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_fluid_boundary,"Section 5.2.1 defines the coolant inlet state and outlet relative-pressure boundary."
P166,hcpb_v3_slice_purge_chamber_thermal_boundary,EU DEMO HCPB V3 equatorial OB4 slice,adiabatic,extracted,boundary_condition,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_thermal_boundary,"Section 5.2.1 treats purge-gas chambers as adiabatic because the low purge velocity gives negligible HTC; this is a conservative model assumption."
P167,hcpb_v3_maia_slice_thermal_hydraulic_results,EU DEMO HCPB V3 equatorial OB4 slice,"Li4SiO4_max~940; Be_max~760; Eurofer_CP_max~630; He_max~600; loop1_dp=1.49; loop2_dp=1.45",extracted,"degC;degC;degC;degC;bar;bar",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_validation_result,"Sections 5.2.2 and Table 5.2 report a non-optimised configuration that violates several temperature limits. These are validation targets for that exact setup, not acceptable design temperatures."
P168,hcpb_v3_cooling_channels_per_plate,EU DEMO HCPB V3 cooling plate,32,extracted,count,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_geometry,"Section 1.2.1 states that 32 functional cooling channels run in the toroidal direction within each cooling plate; dummy channels reduce the steel fraction."
P169,hcpb_v3_slice_thermal_symmetry_validation_envelope,EU DEMO HCPB V3 slice,"adjacent_mass_flow=-1.295% to +0.553%; adjacent_power_up_to~5.95%; temperature_field_error<=2.4%",extracted,percent,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_boundary_validation,"Section 4.2 compares one-slice symmetry boundaries with three adjacent slices. The result supports the published periodic-slice boundary only within the tested load envelope."
P170,hcpb_v3_radial_build,EU DEMO HCPB V3,"OB_BZ=520; back_plate=85; mean_OB_BSS=620",extracted,mm,Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_geometry,"Table 1.1 reports the outboard breeding-zone, back-plate and mean outboard BSS radial dimensions. The BSS thickness varies poloidally."
P171,hcpb_pcd_fuel_breeder_pin_axial_length,EU DEMO HCPB fuel-breeder pin,570,extracted,mm,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,peer_reviewed_geometry,"Section 2 reports an approximate axial length of 570 mm for the blanket fuel-breeder pin."
P172,hcpb_pcd_fuel_breeder_pin_cross_section,EU DEMO HCPB fuel-breeder pin,"inner_coolant_diameter=16; inner_cladding_OD=28; ACB_radial_thickness=16; outer_cladding_OD=64; annular_coolant_gap=3; pressure_tube_thickness=4",extracted,mm,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,peer_reviewed_figure_geometry,"Figure 1 C-C was re-rendered at 6x and visually checked. The inner-cladding label is 28 mm, not 20 mm. The figure closes radially to a 70 mm pressure-tube ID. It conflicts with the separate article-text outer-cladding wall value recorded in P212."
P173,hcpb_pcd_pin_mass_flow_and_reynolds_envelope,EU DEMO HCPB fuel-breeder pin,"mass_flow=15 to 23; Re=4000 to 5900",extracted,"g/s;dimensionless",Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,peer_reviewed_operating_envelope,"Section 2.2 reports the blanket pin envelope used for dimensionless upscaling of the HELOKA mock-up."
P174,hcpb_heloka_pin_mockup_tube_dimensions,HELOKA enlarged fuel-breeder pin mock-up,"tube1_ID/OD=51.84/71.84; tube2_ID/OD=71.84/91.84; tube3_ID/OD=91.84/114.3; tube4_ID/OD=144.3/168.3",extracted,mm,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,peer_reviewed_experiment_geometry,"Table 2 reports the four concentric tube dimensions. The flowing annulus is between Tube-3 OD and Tube-4 ID."
P175,hcpb_heloka_pin_mockup_heated_length,HELOKA enlarged fuel-breeder pin mock-up,528.36,extracted,mm,Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/jne4010002,peer_reviewed_experiment_geometry,"Section 4.1 reports the axial length covered by the three heaters."
P176,hcpb_heloka_smooth_insert_test_envelope,HELOKA enlarged fuel-breeder pin mock-up,"inlet=300 plus/minus 1.5 degC; pressure=80 plus/minus 0.5 bar absolute; Re=2900 to 7400",extracted,"degC;bar;dimensionless",Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/jne4010002,peer_reviewed_experiment_condition,"Sections 2 and 4 report the tested smooth-insert envelope and steady-state control limits."
P177,hcpb_heloka_smooth_insert_roughness,HELOKA enlarged fuel-breeder pin mock-up,10,extracted,um,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,peer_reviewed_experiment_geometry,"Table 3 gives approximately Rz=10 um for the normally manufactured smooth surface."
P178,hcpb_heloka_test_matrix_size,HELOKA enlarged fuel-breeder pin mock-up,"20 cases; 2 repeat runs per case",extracted,count,Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/jne4010002,peer_reviewed_experiment_protocol,"Table 1 reports four mass-flow/Re groups and five heater powers per group; each case was tested twice."
P179,hcpb_heloka_sampling_and_temperature_accuracy,HELOKA enlarged fuel-breeder pin mock-up,"sampling=1; thermocouple_accuracy=plus/minus 1.5 up to 375 degC",extracted,"Hz;degC",Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/jne4010002,peer_reviewed_experiment_protocol,"Section 3.2.1 and Section 4 report the sampling rate and type-K class-1 thermocouple tolerance."
P180,hcpb_heloka_nusselt_reynolds_uncertainty,HELOKA enlarged fuel-breeder pin mock-up,"Nu=plus/minus 2.3 to 2.8; Re=plus/minus 17.9 to 34.2",extracted,dimensionless,Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/jne4010002,peer_reviewed_experiment_uncertainty,"Text below Figure 10 reports total random plus systematic uncertainty. The four Nu means and vertical error bars are separately digitized with an auditable script."
P181,hcpb_heloka_helium_properties_at_573p15K_8MPa,HELOKA enlarged fuel-breeder pin mock-up,"temperature=573.15; pressure=8.0; density=6.600930640; cp=5188.814218; viscosity=3.134027780e-5; thermal_conductivity=0.2487136344",extracted,"K;MPa;kg/m3;J/kg/K;Pa*s;W/m/K",NIST Chemistry WebBook Thermophysical Properties of Fluid Systems: helium,https://webbook.nist.gov/cgi/fluid.cgi?Action=Data%26Wide=on%26ID=C7440597%26Type=IsoBar%26Digits=10%26P=8%26THigh=574.15%26TLow=572.15%26TInc=1%26RefState=DEF%26TUnit=K%26PUnit=MPa%26DUnit=kg%252Fm3%26HUnit=kJ%252Fkg%26WUnit=m%252Fs%26VisUnit=uPa%252As%26STUnit=N%252Fm,nist_reference_data,"The official NIST fluid table was downloaded as a raw TSV snapshot. Cp is converted from J/g/K to J/kg/K and viscosity from uPa s to Pa s; the original values remain in the snapshot."
P182,hcpb_heloka_derived_dimensionless_reference,HELOKA enlarged fuel-breeder pin mock-up,"Pr=0.6538398244109683; annular_diameter_ratio=1.26246719160105; hydraulic_diameter=0.03",derived,"dimensionless;dimensionless;m",Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket; NIST helium data,https://doi.org/10.3390/jne4010002,derived_from_P174_P181,"Pr=cp*mu/k using P181; diameter ratio=144.3/114.3 and hydraulic diameter=(144.3-114.3) mm using P174. These are auditable derived values, not fitted parameters."
P183,hcpb_heloka_mean_wall_bulk_temperature_dataset,HELOKA enlarged fuel-breeder pin mock-up,"20 case-wise mean wall and bulk temperatures digitized from Figure 9",digitized_external_dataset,degC,Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/jne4010002,peer_reviewed_experiment_digitization,"The auditable extraction is stored in data/apd006_hcpb_pin_experiment_2023/wall_bulk_temperatures_digitized.csv. Values are calculated means reported by the paper, not local axial temperature profiles."
P184,kOmegaSSTLM_inlet_nuisance_sensitivity_values,Langtry-Menter transition-model sensitivity,"Tu_percent=0.1,0.25,0.5,3.0; eddy_viscosity_ratio=1,10,20",literature_bounded_nuisance,"percent;dimensionless",An efficient setup for freestream turbulence on transition prediction over aerospace configurations; OpenFOAM ERCOFTAC T3A 3 percent tutorial,https://doi.org/10.1016/j.ast.2018.08.013,transition_model_sensitivity,"Halila et al. explicitly study Tu=0.1,0.25,0.5 percent and eddy-viscosity ratios including 1,10,20; the OpenFOAM T3A validation tutorial identifies a 3 percent ERCOFTAC case. These are nuisance sensitivity values, not measured HELOKA inlet conditions."
P185,hcpb_heloka_uniform_heat_flux_axial_region,HELOKA enlarged fuel-breeder pin mock-up,"z=50 to 400",extracted,mm,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,peer_reviewed_cfd_result,"Section 6.1 and Figure 10 state that the Tube-3-to-coolant heat flux is uniform between 50 and 400 mm in the representative CFX case. This interval is used for a local-Nu post-processing sensitivity, not as an asserted thermocouple coordinate."
P186,hcpb_heloka_helium_temperature_dependent_properties_8MPa,HELOKA enlarged fuel-breeder pin mock-up,"table T=295 to 660 in 5 K increments; physical case envelope T=570 to 660; p=8; rho/Cp/mu/k/NIST table",extracted,"K;MPa;kg/m3;J/kg/K;Pa*s;W/m/K",NIST Chemistry WebBook Thermophysical Properties of Fluid Systems: helium,https://webbook.nist.gov/cgi/fluid.cgi?Action=Data%26Wide=on%26ID=C7440597%26Type=IsoBar%26Digits=10%26P=8%26THigh=660%26TLow=295%26TInc=5%26RefState=DEF%26TUnit=K%26PUnit=MPa%26DUnit=kg%252Fm3%26HUnit=kJ%252Fkg%26WUnit=m%252Fs%26VisUnit=uPa%252As%26STUnit=N%252Fm,nist_reference_data,"Raw TSV SHA256=66859ddf8ae0bf470bdd064513add5dde6b5bef0f7a42b922044fcc178b924c7. The low-temperature extension is required only for OpenFOAM enthalpy integration from 298.15 K; the physical case remains in the published 570-660 K envelope."
P187,hcpb_heloka_TC9_to_TC16_axial_coordinates,HELOKA enlarged fuel-breeder pin mock-up,,blocked_missing_value,mm,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup; Experimental Thermal-Hydraulic Testing of a Mock-Up of the Fuel-Breeder Pin Concept for the EU-DEMO HCPB Breeding Blanket,https://doi.org/10.3390/app13042081,public_source_gap,"The papers state axial-half length and proximity of full length, but do not provide numeric coordinates in text; Figure 5 is explicitly not to scale. No coordinate may be inferred from the drawing."
P188,hcpb_heloka_complete_inlet_outlet_conjugate_geometry,HELOKA enlarged fuel-breeder pin mock-up,,blocked_missing_value,CAD_or_dimensions,Engineering Design of the European DEMO HCPB Breeding Blanket Breeder Zone Mockup,https://doi.org/10.3390/app13042081,public_source_gap,"The paper reports inlet-to-outlet critical-region CFX, a downstream T-junction and approximately 50 million elements, but the complete machine-readable CAD/mesh and all pipe dimensions are not public in the inspected article package."
P189,hcpb_v3_ob4_equatorial_slice_fmesh_domain,EU DEMO HCPB V3 equatorial OB4 slice,"origin_cm=(-43.100,-99.025,-85.000); x_limit=83.650; y_limits=(-98.250,-97.750,-95.750); z_limits=(-55.000,55.000,85.000); divisions=(127;1,1,1;100,10,100)",extracted,"cm;count",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_3d_mesh_geometry,"Table 4.3 gives the Cartesian FMESH domain and subdivisions. The total domain extents are x=126.75 cm radial, y=3.275 cm poloidal and z=170 cm toroidal. The y segments 0.775/0.5/2.0 cm match half Li4SiO4 bed/CP/half Be bed."
P190,hcpb_v3_ob4_local_source_discretization,EU DEMO HCPB V3 equatorial OB4 slice,"cosine_bins=10 from 0 to 1; neutron_energy_intervals=99 including 0-0.111 MeV plus 98 Vitamin-J+ intervals to 14.2 MeV; photon_energy_intervals=43 from 0.001 to 50 MeV",extracted,"count;MeV",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_local_source_method,"Sections 3.3.1 and 4.1.2 define the source discretization and show that 10 cosine bins reach the deposited-power plateau. This row defines binning only, not the missing Sij probabilities."
P191,hcpb_v3_ob4_slice_local_source_normalization_table,EU DEMO HCPB V3 equatorial OB4 slice,"P=2.03700e9; Ef=2.81827e-12; C0=1.602e-13; YDEMO=7.22784e20; neutron_F1=2.96784e-4; photon_F1=4.97275e-5; ASOURCE=1.39268e3; ATALLY=4.64292e2; table_YLOCAL_n=1.1451e4; table_YLOCAL_p=1.91873e3",blocked_internal_table_equation_unit_inconsistency,"W;J;J/MeV;part/s;dimensionless;cm2",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,dissertation_table_internal_inconsistency,"Direct visual inspection confirms Eq. (3.6) uses ASOURCE/ATALLY and Eq. (3.7) applies C0 separately. Table 4.1 YLOCAL is labelled part/s but all four slice/module values are within 0.18% of a C0-weighted candidate; for the slice the closest candidate also reverses the printed area ratio. The table is therefore not admitted as an OpenMC particle-rate normalization without author/source-card confirmation."
P192,hcpb_v3_ob4_local_source_probability_matrices,EU DEMO HCPB V3 equatorial OB4 slice,,blocked_missing_value,"10x99 neutron and 10x43 photon probability matrices",Integrated multi-physics design tool for fusion breeding blanket systems - development and validation,https://d-nb.info/1218599758/34,public_source_gap,"The dissertation plots representative probability curves and defines Sij/Ci/Eij, but the complete numerical neutron and photon source matrices or MCNP source cards are not included in the inspected public PDF."
